CELL_TYPE,SHAPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE
TVS,POINT (-101.935537544909 44.6571147210924),29,KUDX,89,V0,2024-07-30T23:21:56Z,50,50
TVS,POINT (-78.2169581385631 36.644736666566),25,KRDU,72,O1,2024-07-30T23:24:36Z,31,45
TVS,POINT (-84.6238435645468 34.3533630308506),39,KATL,112,A3,2024-07-30T23:24:45Z,337,46
TVS,POINT (-84.4965253351006 34.3724223037702),33,KATL,93,A3,2024-07-30T23:24:45Z,345,45
TVS,POINT (-78.3157201449777 36.6313512482127),33,KRDU,89,O1,2024-07-30T23:27:27Z,26,42
TVS,POINT (-84.4860177611386 34.3401909760147),42,KATL,114,E3,2024-07-30T23:27:55Z,345,43
TVS,POINT (-84.5328433641133 34.3810857573538),34,KATL,98,E3,2024-07-30T23:27:55Z,343,46
TVS,POINT (-84.2134992272329 34.4138728454566),34,KATL,99,G3,2024-07-30T23:30:45Z,3,46
TVS,POINT (-87.4455414588999 38.0316639043634),46,KVWX,58,Q6,2024-07-30T23:32:20Z,136,19
TVS,POINT (-84.4650262860209 34.275725804589),35,KATL,90,C3,2024-07-30T23:33:55Z,345,39
TVS,POINT (-84.4377551149737 34.3327123859363),31,KATL,84,I3,2024-07-30T23:33:55Z,348,42
TVS,POINT (-84.4965253351006 34.3724223037702),32,KATL,89,I3,2024-07-30T23:33:55Z,345,45
TVS,POINT (-84.4037781363676 34.388910998181),32,KATL,88,I3,2024-07-30T23:33:55Z,351,45
TVS,POINT (-84.1490674453271 34.4091595480315),33,KATL,94,G3,2024-07-30T23:36:45Z,7,46
TVS,POINT (-87.9771887602038 37.4503198756008),25,KVWX,77,F8,2024-07-30T23:37:48Z,194,50
TVS,POINT (-87.8714839566398 37.5183932608479),30,KVWX,84,F8,2024-07-30T23:37:48Z,189,45
TVS,POINT (-87.4053620268815 38.0162070060027),51,KVWX,70,Q6,2024-07-30T23:37:48Z,134,21
TVS,POINT (-101.792958018924 44.6013664333112),33,KUDX,111,V0,2024-07-30T23:38:03Z,57,53
TVS,POINT (-84.5041630944495 34.2308001732771),39,KATL,88,S3,2024-07-30T23:39:55Z,341,37
TVS,POINT (-84.4205364045447 34.2226072376564),16,KFFC,52,Q8,2024-07-30T23:41:25Z,8,52
TVS,POINT (-84.1006977871373 34.3351716403057),35,KATL,92,G3,2024-07-30T23:42:45Z,11,42
TVS,POINT (-84.0929521537845 34.3679362202306),31,KATL,86,G3,2024-07-30T23:42:45Z,11,44
TVS,POINT (-101.821456796899 44.5709553689008),27,KUDX,89,V0,2024-07-30T23:43:20Z,58,51
TVS,POINT (-84.4545423675259 34.2434919422837),37,KATL,87,C3,2024-07-30T23:45:55Z,345,37
TVS,POINT (-101.718724099383 44.5421046211635),28,KUDX,92,V0,2024-07-30T23:48:46Z,62,54
TVS,POINT (-84.4815450808715 34.0770886611709),60,KATL,109,E4,2024-07-30T23:51:54Z,337,28
TVS,POINT (-101.770012348542 44.5402324283653),47,KUDX,157,V0,2024-07-30T23:54:03Z,61,52
TVS,POINT (-84.8639759385282 34.112348928443),28,KATL,72,W3,2024-07-30T23:54:45Z,313,41
TVS,POINT (-101.801578774028 44.5115788601847),22,KUDX,73,V0,2024-07-30T23:59:21Z,62,50
TVS,POINT (-81.8774692265002 33.3319847518916),24,KCAE,80,K3,2024-07-30T23:59:45Z,226,53
